iter	Passed	Remaining
0	172	172116
1	174	86973
2	175	58364
3	176	44062
4	178	35446
5	179	29680
6	180	25625
7	181	22536
8	182	20137
9	184	18243
10	185	16674
11	187	15471
12	189	14361
13	190	13421
14	191	12588
15	194	11974
16	197	11429
17	198	10845
18	200	10332
19	204	10000
20	205	9575
21	207	9208
22	209	8919
23	211	8609
24	212	8304
25	214	8033
26	216	7805
27	220	7649
28	221	7414
29	224	7247
30	225	7059
31	227	6886
32	228	6708
33	230	6536
34	231	6382
35	232	6237
36	234	6100
37	235	5961
38	236	5827
39	237	5701
40	239	5600
41	240	5490
42	242	5388
43	243	5284
44	244	5184
45	246	5119
46	248	5048
47	250	4960
48	251	4875
49	252	4795
50	254	4731
51	255	4656
52	256	4582
53	257	4511
54	258	4443
55	260	4396
56	262	4338
57	263	4277
58	264	4219
59	265	4161
60	267	4122
61	269	4070
62	270	4016
63	271	3968
64	272	3919
65	273	3871
66	275	3832
67	276	3788
68	277	3745
69	278	3702
70	279	3660
71	282	3635
72	283	3598
73	284	3561
74	285	3524
75	286	3487
76	288	3452
77	290	3429
78	291	3394
79	292	3363
80	293	3331
81	294	3300
82	295	3265
83	297	3242
84	298	3216
85	300	3191
86	301	3164
87	304	3153
88	305	3131
89	307	3107
90	308	3081
91	309	3056
92	311	3039
93	313	3016
94	314	2992
95	315	2968
96	316	2948
97	318	2932
98	319	2910
99	320	2887
100	321	2865
101	323	2843
102	324	2823
103	325	2808
104	327	2789
105	328	2769
106	329	2749
107	330	2729
108	331	2710
109	332	2693
110	334	2675
111	335	2658
112	336	2640
113	337	2623
114	338	2607
115	340	2595
116	342	2584
117	343	2569
118	346	2564
119	347	2551
120	349	2536
121	349	2518
122	351	2504
123	353	2499
124	355	2488
125	358	2489
126	360	2480
127	363	2477
128	366	2472
129	369	2472
130	370	2460
131	372	2448
132	373	2436
133	375	2426
134	377	2418
135	381	2425
136	384	2420
137	386	2412
138	387	2400
139	388	2388
140	390	2378
141	391	2364
142	392	2353
143	393	2341
144	395	2330
145	396	2321
146	398	2310
147	399	2299
148	400	2287
149	401	2277
150	403	2265
151	404	2257
152	405	2246
153	407	2236
154	408	2224
155	409	2215
156	410	2205
157	412	2196
158	413	2186
159	414	2176
160	415	2164
161	416	2155
162	417	2145
163	419	2137
164	420	2127
165	421	2118
166	422	2109
167	424	2100
168	425	2090
169	426	2082
170	427	2073
171	428	2064
172	430	2055
173	431	2047
174	432	2038
175	433	2030
176	434	2022
177	436	2013
178	437	2005
179	438	1997
180	439	1990
181	441	1983
182	442	1975
183	443	1967
184	444	1959
185	445	1951
186	447	1944
187	448	1938
188	449	1930
189	451	1922
190	452	1915
191	453	1908
192	455	1903
193	456	1896
194	457	1889
195	458	1882
196	460	1875
197	461	1868
198	462	1863
199	464	1857
200	465	1850
201	466	1843
202	467	1836
203	470	1836
204	472	1832
205	473	1825
206	474	1818
207	475	1811
208	477	1808
209	479	1802
210	480	1796
211	481	1790
212	482	1783
213	484	1777
214	485	1773
215	486	1767
216	487	1760
217	489	1754
218	490	1748
219	491	1743
220	493	1738
221	494	1732
222	495	1726
223	496	1720
224	497	1714
225	499	1709
226	500	1704
227	501	1699
228	502	1693
229	504	1687
230	505	1681
231	506	1677
232	508	1672
233	509	1667
234	510	1661
235	511	1656
236	513	1651
237	514	1646
238	515	1641
239	516	1636
240	517	1630
241	518	1625
242	520	1620
243	521	1616
244	522	1611
245	524	1606
246	525	1601
247	526	1595
248	527	1591
249	529	1587
250	530	1582
251	531	1577
252	532	1572
253	533	1567
254	535	1563
255	536	1559
256	537	1553
257	538	1548
258	539	1544
259	540	1539
260	542	1535
261	543	1531
262	544	1526
263	546	1522
264	547	1517
265	548	1513
266	549	1509
267	551	1505
268	552	1500
269	553	1496
270	554	1491
271	555	1486
272	558	1487
273	560	1483
274	561	1481
275	566	1485
276	568	1483
277	571	1485
278	573	1482
279	575	1480
280	577	1477
281	581	1479
282	582	1476
283	584	1472
284	586	1472
285	588	1470
286	590	1465
287	591	1462
288	593	1460
289	596	1460
290	597	1456
291	602	1461
292	605	1460
293	606	1456
294	608	1453
295	610	1450
296	612	1448
297	614	1448
298	617	1448
299	619	1445
300	622	1445
301	623	1442
302	625	1438
303	626	1434
304	628	1431
305	630	1429
306	631	1425
307	632	1421
308	633	1416
309	634	1412
310	635	1408
311	637	1404
312	638	1401
313	639	1397
314	640	1393
315	642	1389
316	643	1385
317	644	1382
318	646	1379
319	647	1375
320	648	1371
321	649	1367
322	650	1363
323	651	1360
324	653	1357
325	654	1353
326	655	1349
327	657	1346
328	658	1342
329	659	1339
330	660	1335
331	662	1331
332	663	1328
333	664	1324
334	665	1320
335	667	1318
336	668	1314
337	669	1310
338	670	1308
339	672	1304
340	674	1302
341	675	1299
342	676	1296
343	677	1292
344	679	1289
345	681	1288
346	683	1285
347	684	1282
348	685	1279
349	686	1275
350	688	1272
351	689	1269
352	690	1266
353	692	1262
354	693	1259
355	694	1256
356	696	1253
357	697	1250
358	698	1246
359	699	1243
360	700	1240
361	702	1237
362	703	1234
363	704	1231
364	705	1228
365	707	1224
366	708	1221
367	709	1218
368	711	1216
369	712	1212
370	713	1209
371	714	1206
372	715	1202
373	717	1201
374	719	1198
375	720	1195
